search_evaluation_id,weighting,search_accuracy_pct,final_accuracy_pct,accuracy_delta_pp,search_mflops,final_mflops,final_route_accuracy_pct,underestimation_count,overestimation_count,dispatcher_checkpoint,selected_shufflenetv2_x0_5_count,selected_shufflenetv2_x0_5_fraction,selected_mobilenetv2_x0_5_count,selected_mobilenetv2_x0_5_fraction,selected_resnet56_count,selected_resnet56_fraction,selected_repvgg_a1_count,selected_repvgg_a1_fraction,final_pareto,catalog_interpolated_accuracy_pct,catalog_interpolated_margin_pp,above_catalog_interpolated_front,chromosome_json
17,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00017.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[69.61653421970686,53.03637589499948,23.720513444813406,46.978896342963964,4.403674417945891,55.48471989594954,5.8442455079872335,83.06197675281388,29.57554320617404,99.15945062145813,99.68133579584284,9.870274927018851,10.848706474691383,31.560127971181252,18.357349484549534,86.11461104637633,1.547880464794921]"
47,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00047.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[57.398687679458014,32.07132689454135,94.78344907590447,81.32287487713417,14.724227509482901,6.8364302510567025,13.333090043811024,51.21257388413416,12.861563836141364,83.48971399632411,38.93947061033269,93.57490244878038,93.40466639264197,69.26124472011065,89.66717601255944,79.23761510926319,1.897091284868611]"
214,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00214.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[57.398687679458014,51.42426363411978,97.07587225093069,84.0041741708609,14.724227509482901,75.69018879596241,13.219014123537033,45.80476993901719,12.293846370889222,83.69434525156312,38.93947061033269,57.93500554208032,93.40466639264197,69.26124472011065,89.66717601255944,79.23761510926319,1.598214889075616]"
233,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00233.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[69.61653421970686,53.03637589499948,20.862302453516527,12.759158463519974,4.403674417945891,55.48471989594954,5.8442455079872335,39.79765971234312,29.57554320617404,99.15945062145813,99.68133579584284,9.870274927018851,10.848706474691383,32.050206009669694,18.118916871816282,86.11461104637633,1.6743957202620274]"
237,ISNS,90.75,90.45,-0.30000000000000027,21.933942000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00237.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[69.61653421970686,53.03637589499948,23.76849818029596,46.978896342963964,4.293314573280297,58.56370356578056,5.8442455079872335,34.621019431092336,80.10134296473183,99.15945062145813,99.64377404820881,9.870274927018851,10.848706474691383,31.007365002396426,94.6411266587052,88.5777610303567,1.547880464794921]"
255,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00255.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[69.61653421970686,53.03637589499948,23.720513444813406,46.978896342963964,4.403674417945891,55.48471989594954,5.8442455079872335,83.06197675281388,29.57554320617404,99.15945062145813,99.82919899570204,9.870274927018851,10.848706474691383,31.560127971181252,18.357349484549534,86.11461104637633,1.547880464794921]"
262,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00262.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[71.26604967680434,17.953057146273753,20.77855509347301,85.0657325645224,4.403674417945891,54.58337094335063,5.164745012211014,40.38751515435759,29.57554320617404,78.88687472652028,94.20698477865945,9.144876593773121,10.848706474691383,31.678836010602737,18.118916871816282,57.86233753651109,1.6805222947468041]"
286,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00286.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[29.451354975984266,71.63390190156056,22.797983991429383,58.30137804162672,4.403674417945891,95.74517535963079,4.6292451304443745,82.94349768441421,27.676247289464932,99.15945062145813,32.2742321810851,11.679483390983435,12.277404345906248,87.39347164636905,17.419389330063193,86.63504977935318,1.547880464794921]"
321,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00321.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[29.451354975984266,71.63390190156056,22.797983991429383,58.30137804162672,4.403674417945891,95.74517535963079,4.6292451304443745,82.92924803409683,27.676247289464932,99.15945062145813,32.2742321810851,11.796482473124843,12.277404345906248,87.39347164636905,17.349010774934563,86.63504977935318,1.547880464794921]"
355,ISNS,90.71249999999999,90.45,-0.26249999999999885,21.808192000000002,21.808192000000002,91.85,163,0,artifacts/cifar10/runs/pareto/final/dispatcher-00355.pt,2000,1.0,0,0.0,0,0.0,0,0.0,True,90.13109638537819,0.31890361462181716,True,"[54.06004029120375,93.68281610992906,22.797983991429383,59.615251282667344,4.403674417945891,95.74517535963079,1.6640849905842927,82.66529505698298,27.676247289464932,98.53208320967778,32.2742321810851,52.23077469934015,17.424975928871675,86.33973122209663,16.46210366089852,85.47288776361995,1.547880464794921]"
