model,family,top1_accuracy_pct,top5_accuracy_pct,params_m,madds_m,mflops,pareto,catalog,source_url,snapshot_date
shufflenetv2_x0_5,ShuffleNetV2,90.13,99.7,0.35,10.9,21.8,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
mobilenetv2_x0_5,MobileNetV2,92.88,99.86,0.7,27.97,55.94,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
resnet20,ResNet,92.6,99.81,0.27,40.81,81.62,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
shufflenetv2_x1_0,ShuffleNetV2,92.98,99.73,1.26,45.0,90.0,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
mobilenetv2_x0_75,MobileNetV2,93.72,99.79,1.37,59.31,118.62,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
resnet32,ResNet,93.53,99.77,0.47,69.12,138.24,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
mobilenetv2_x1_0,MobileNetV2,93.79,99.73,2.24,87.98,175.96,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
shufflenetv2_x1_5,ShuffleNetV2,93.55,99.77,2.49,94.26,188.52,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
resnet44,ResNet,94.01,99.77,0.66,97.44,194.88,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
resnet56,ResNet,94.37,99.83,0.86,125.75,251.5,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
vgg11_bn,VGG,92.79,99.72,9.76,153.29,306.58,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
mobilenetv2_x1_4,MobileNetV2,94.22,99.8,4.33,170.07,340.14,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
shufflenetv2_x2_0,ShuffleNetV2,93.81,99.79,5.37,187.81,375.62,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
vgg13_bn,VGG,94.0,99.77,9.94,228.79,457.58,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
vgg16_bn,VGG,94.16,99.71,15.25,313.73,627.46,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
vgg19_bn,VGG,93.91,99.64,20.57,398.66,797.32,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
repvgg_a0,RepVGG,94.39,99.82,7.84,489.08,978.16,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
repvgg_a1,RepVGG,94.89,99.83,12.82,851.33,1702.66,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
repvgg_a2,RepVGG,94.98,99.82,26.82,1850.1,3700.2,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#model-zoo,2026-08-24
